Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",500.558
2017-06-12,2017-06-16,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,500.558
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold N Roll Cart System,22.368
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,500.558
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,500.558
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,500.558
2018-04-15,2018-04-20,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552
2017-12-05,2017-12-10,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.976
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544
2015-11-11,2015-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H X 36W X 18 1/2D",500.558
2015-05-13,2015-05-15,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Technology,Phones,Cisco Spa 501G Ip Phone,213.48
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1",22.72
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4 Cord Length",60.34
2018-07-16,2018-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
2016-09-25,2016-09-30,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,500.558
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",500.558
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.618
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,124.2
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8 X 11, Executive Red",6.858
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76
2018-10-19,2018-10-23,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-Staple Paper,29.472
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,Ge 30524Ee4,500.558
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architects Clamp-On Swing Arm Lamp, Black",190.92
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,#10-4 1/8 X 9 1/2 Premium Diagonal Seam Envelopes,113.328
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",500.558
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Managers Chair, Dark Gray",212.058
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics Hl10 Handset Lifter,371.168
2018-09-10,2018-09-15,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-Ts550,147.168
2017-07-17,2017-07-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",77.88
2018-09-19,2018-09-23,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46
2015-10-20,2015-10-25,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",211.96
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",21.8
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Technology,Phones,At&T Cl83451 4-Handset Telephone,500.558
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",13.98
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8 X 11",25.824
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73
